code,b11,b10,b9,b8,b7,b6,b5,b4,b3,b2,b1,b0,vout,DNL,INL,delay_ns
59,0,0,0,0,0,0,1,1,1,0,1,1,0.017200,0.001016,-0.305713,100.0
60,0,0,0,0,0,0,1,1,1,1,0,0,0.017494,0.003055,-0.302658,100.0
61,0,0,0,0,0,0,1,1,1,1,0,1,0.017787,0.001016,-0.301643,100.0
62,0,0,0,0,0,0,1,1,1,1,1,0,0.018076,-0.013181,-0.314824,100.0
63,0,0,0,0,0,0,1,1,1,1,1,1,0.018370,0.001016,-0.313808,100.0
64,0,0,0,0,0,1,0,0,0,0,0,0,0.018729,0.225881,-0.087927,100.0
65,0,0,0,0,0,1,0,0,0,0,0,1,0.019022,0.001016,-0.086912,100.0
66,0,0,0,0,0,1,0,0,0,0,1,0,0.019311,-0.013181,-0.100093,100.0
67,0,0,0,0,0,1,0,0,0,0,1,1,0.019605,0.001016,-0.099077,100.0
68,0,0,0,0,0,1,0,0,0,1,0,0,0.019899,0.003055,-0.096022,100.0
69,0,0,0,0,0,1,0,0,0,1,0,1,0.020192,0.001016,-0.095007,100.0
70,0,0,0,0,0,1,0,0,0,1,1,0,0.020481,-0.013181,-0.108188,100.0
71,0,0,0,0,0,1,0,0,0,1,1,1,0.020774,0.001016,-0.107172,100.0
72,0,0,0,0,0,1,0,0,1,0,0,0,0.021043,-0.084444,-0.191616,100.0
73,0,0,0,0,0,1,0,0,1,0,0,1,0.021336,0.001016,-0.190600,100.0
74,0,0,0,0,0,1,0,0,1,0,1,0,0.021625,-0.013181,-0.203781,100.0
75,0,0,0,0,0,1,0,0,1,0,1,1,0.021919,0.001016,-0.202766,100.0
76,0,0,0,0,0,1,0,0,1,1,0,0,0.022213,0.003055,-0.199710,100.0
77,0,0,0,0,0,1,0,0,1,1,0,1,0.022506,0.001016,-0.198695,100.0
78,0,0,0,0,0,1,0,0,1,1,1,0,0.022795,-0.013181,-0.211876,100.0
79,0,0,0,0,0,1,0,0,1,1,1,1,0.023088,0.001016,-0.210860,100.0
80,0,0,0,0,0,1,0,1,0,0,0,0,0.023430,0.166695,-0.044165,100.0
81,0,0,0,0,0,1,0,1,0,0,0,1,0.023724,0.001016,-0.043150,100.0
82,0,0,0,0,0,1,0,1,0,0,1,0,0.024013,-0.013181,-0.056331,100.0
83,0,0,0,0,0,1,0,1,0,0,1,1,0.024306,0.001016,-0.055315,100.0
84,0,0,0,0,0,1,0,1,0,1,0,0,0.024600,0.003055,-0.052260,100.0
85,0,0,0,0,0,1,0,1,0,1,0,1,0.024893,0.001016,-0.051245,100.0
86,0,0,0,0,0,1,0,1,0,1,1,0,0.025183,-0.013181,-0.064425,100.0
87,0,0,0,0,0,1,0,1,0,1,1,1,0.025476,0.001016,-0.063410,100.0
88,0,0,0,0,0,1,0,1,1,0,0,0,0.025744,-0.084444,-0.147854,100.0
89,0,0,0,0,0,1,0,1,1,0,0,1,0.026038,0.001016,-0.146838,100.0
90,0,0,0,0,0,1,0,1,1,0,1,0,0.026327,-0.013181,-0.160019,100.0
91,0,0,0,0,0,1,0,1,1,0,1,1,0.026620,0.001016,-0.159003,100.0
92,0,0,0,0,0,1,0,1,1,1,0,0,0.026914,0.003055,-0.155948,100.0
93,0,0,0,0,0,1,0,1,1,1,0,1,0.027207,0.001016,-0.154933,100.0
94,0,0,0,0,0,1,0,1,1,1,1,0,0.027497,-0.013181,-0.168114,100.0
95,0,0,0,0,0,1,0,1,1,1,1,1,0.027790,0.001016,-0.167098,100.0
96,0,0,0,0,0,1,1,0,0,0,0,0,0.028037,-0.155466,-0.322564,100.0
97,0,0,0,0,0,1,1,0,0,0,0,1,0.028331,0.001016,-0.321549,100.0
98,0,0,0,0,0,1,1,0,0,0,1,0,0.028620,-0.013181,-0.334730,100.0
99,0,0,0,0,0,1,1,0,0,0,1,1,0.028913,0.001016,-0.333714,100.0
100,0,0,0,0,0,1,1,0,0,1,0,0,0.029207,0.003055,-0.330659,100.0
101,0,0,0,0,0,1,1,0,0,1,0,1,0.029500,0.001016,-0.329644,100.0
